Timestamp,What is Your age group ?,Whta is Your highest level of education ?,Which city / town do you currently reside in ?,Do you believe that sports is important for the overall developement of a child ?,How many hours per week does your child spend in physical / sports actively ?,I encourage my child to participate in competitive sports. ,I would support my child if they wanted to pursue sports as a full-time career. ,A career in sports lacks job security. ,Sports can be as respectable and successful a career as medicine/engineering. ,Is your child enrolled in any coaching academy or private training for sports ?,I am aware of sports scholarships for young athletes in India. ,I believe that schools provide enough support for children in sports. ,Sports careers come with high injury risks.  ,A sports career can affect my child's education negatively.  ,Financial stability is a major concern in sports careers.  ,What is Your Gender,Email address,Column 17,Column 14
19/06/2025 09:46:49,Below 30,Postgraduate,Bhadreswar,Agree,Less than 2 hours,Occasionally,"Maybe , depending on the sports",Lack of job security,To some extent,Planning to,"Yes , well aware",Yes,Neutral,Strongly Disagree,Agree,Male,,,
17/07/2025 11:28:50,Below 30,Undergraduate,Ichapore,Strongly Agree,2 - 5 hours,Agree,Strongly Agree,Neutral,Agree,Planning to,Strongly Agree,Agree,Neutral,Strongly Disagree,Agree,Female,,,
17/07/2025 11:30:06,Below 30,Undergraduate,West bengal,Agree,2 - 5 hours,Agree,Agree,Neutral,Agree,Yes,Agree,Agree,Neutral,Neutral,Agree,Male,,,
17/07/2025 11:30:17,Below 30,Undergraduate,Howrah,Agree,2 - 5 hours,Agree,Agree,Agree,Agree,No,Agree,Disagree,Agree,Neutral,Agree,Male,,,
17/07/2025 11:30:31,Below 30,Undergraduate,chandannagar ,Strongly Agree,More than 10 hours,Strongly Agree,Agree,Neutral,Agree,Planning to,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Female,,,
17/07/2025 11:31:21,Below 30,Undergraduate,"Naihati, Bhatpara West Bengal, India",Strongly Agree,More than 10 hours,Strongly Agree,Strongly Agree,Agree,Strongly Agree,No,Neutral,Neutral,Agree,Disagree,Agree,Male,,,
17/07/2025 11:32:08,Below 30,Undergraduate,Serampore ,Strongly Agree,Less than 2 hours,Agree,Neutral,Agree,Neutral,No,Neutral,Agree,Disagree,Agree,Agree,Male,,,
17/07/2025 11:32:12,Below 30,Undergraduate,Sheoraphully,Agree,2 - 5 hours,Agree,Agree,Strongly Disagree,Neutral,No,Agree,Neutral,Agree,Disagree,Agree,Female,,,
17/07/2025 11:32:28,Below 30,Postgraduate,Bhatpara,Strongly Agree,More than 10 hours,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Yes,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Male,,,
17/07/2025 11:32:40,41 - 50,Doctorate / Professional Degree,Kolkata,Strongly Agree,6 - 10 hours,Strongly Agree,Neutral,Neutral,Neutral,No,Agree,Neutral,Disagree,Neutral,Strongly Agree,Male,,,
17/07/2025 11:33:02,Below 30,Undergraduate,Hooghly,Strongly Agree,2 - 5 hours,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Planning to,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,,,
17/07/2025 11:33:23,Below 30,Undergraduate,West Bengal ,Agree,2 - 5 hours,Agree,Agree,Disagree,Agree,No,Agree,Neutral,Neutral,Disagree,Disagree,Male,,,
17/07/2025 11:34:09,Below 30,Undergraduate,Sheoraphuli ,Strongly Agree,2 - 5 hours,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Yes,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Agree,Male,,,
17/07/2025 11:34:35,Below 30,Undergraduate,Shrirampur,Agree,Less than 2 hours,Neutral,Agree,Agree,Agree,Planning to,Neutral,Neutral,Strongly Agree,Disagree,Neutral,Female,,,
17/07/2025 11:35:17,Below 30,Undergraduate,Memari,Strongly Agree,2 - 5 hours,Agree,Neutral,Neutral,Agree,No,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Male,,,
17/07/2025 11:37:16,Below 30,Schooling,Howrah ,Strongly Agree,Less than 2 hours,Strongly Agree,Agree,Agree,Strongly Agree,Yes,Strongly Disagree,Agree,Neutral,Disagree,Agree,Male,,,
17/07/2025 11:37:37,Below 30,Undergraduate,CHINSURAH ,Strongly Agree,More than 10 hours,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Planning to,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Female,,,
17/07/2025 11:37:40,Below 30,Undergraduate,Naihati ,Agree,Less than 2 hours,Neutral,Agree,Neutral,Neutral,Yes,Disagree,Agree,Neutral,Neutral,Agree,Male,,,
17/07/2025 11:37:45,Below 30,Undergraduate,Hooghly,Agree,6 - 10 hours,Neutral,Strongly Agree,Disagree,Strongly Agree,No,Neutral,Agree,Agree,Disagree,Disagree,Male,,,
17/07/2025 11:38:21,Below 30,Schooling,Nabadwip ,Agree,Less than 2 hours,Agree,Agree,Neutral,Strongly Agree,No,Agree,Agree,Disagree,Neutral,Neutral,Female,,,
17/07/2025 11:43:28,Below 30,Undergraduate,chinsurah,Strongly Agree,More than 10 hours,Strongly Agree,Agree,Agree,Strongly Agree,No,Neutral,Disagree,Agree,Neutral,Agree,Male,,,
17/07/2025 11:47:49,Below 30,Undergraduate,Kolkata ,Strongly Agree,More than 10 hours,Agree,Agree,Agree,Neutral,Yes,Agree,Disagree,Neutral,Agree,Agree,Male,,,
17/07/2025 11:48:00,Below 30,Undergraduate,Magra,Strongly Agree,Less than 2 hours,Strongly Agree,Strongly Agree,Agree,Strongly Agree,No,Agree,Strongly Disagree,Agree,Disagree,Agree,Female,,,
17/07/2025 11:50:21,Below 30,Schooling,Champdani ,Strongly Agree,Less than 2 hours,Agree,Agree,Neutral,Agree,No,Neutral,Neutral,Neutral,Disagree,Neutral,Male,,,
17/07/2025 11:52:32,Below 30,Undergraduate,Tribeni,Agree,Less than 2 hours,Agree,Agree,Neutral,Agree,No,Neutral,Disagree,Agree,Disagree,Agree,Male,,,
17/07/2025 11:54:01,Below 30,Undergraduate,Kolkata ,Strongly Agree,6 - 10 hours,Strongly Agree,Agree,Neutral,Strongly Agree,Yes,Strongly Agree,Neutral,Agree,Disagree,Neutral,Female,,,
17/07/2025 12:03:00,Below 30,Undergraduate,"Bhadreswar, Hooghly",Agree,6 - 10 hours,Strongly Agree,Agree,Agree,Strongly Agree,No,Strongly Agree,Disagree,Agree,Neutral,Agree,Male,,,
17/07/2025 12:05:35,Below 30,Undergraduate,Chandannagar,Strongly Agree,2 - 5 hours,Strongly Agree,Strongly Agree,Disagree,Agree,Yes,Strongly Disagree,Neutral,Disagree,Neutral,Strongly Agree,Male,,,
17/07/2025 12:11:54,Below 30,Schooling,Kolkata ,Strongly Agree,More than 10 hours,Strongly Agree,Agree,Neutral,Agree,No,Agree,Agree,Disagree,Strongly Disagree,Neutral,Female,,,
17/07/2025 12:13:27,Below 30,Undergraduate,Uttarpara ,Strongly Agree,More than 10 hours,Strongly Agree,Strongly Agree,Agree,Strongly Agree,No,Agree,Strongly Agree,Agree,Disagree,Agree,Male,,,
17/07/2025 12:13:28,Below 30,Undergraduate,Hooghly ,Strongly Agree,Less than 2 hours,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,No,Disagree,Strongly Disagree,Disagree,Neutral,Strongly Agree,Male,,,
17/07/2025 12:15:02,Below 30,Undergraduate,Uttarpara ,Strongly Agree,More than 10 hours,Strongly Agree,Strongly Agree,Agree,Strongly Agree,No,Agree,Strongly Agree,Agree,Disagree,Agree,Female,,,
17/07/2025 12:19:08,Below 30,Undergraduate,Uttarpara,Strongly Agree,6 - 10 hours,Strongly Agree,Agree,Agree,Agree,Yes,Agree,Agree,Agree,Agree,Agree,Male,,,
17/07/2025 12:19:17,Below 30,Undergraduate,Chuchura,Strongly Agree,6 - 10 hours,Strongly Agree,Agree,Disagree,Strongly Agree,Planning to,Agree,Neutral,Agree,Disagree,Neutral,Male,,,
17/07/2025 12:23:19,Below 30,Undergraduate,Chinsurah,Agree,2 - 5 hours,Agree,Strongly Agree,Neutral,Strongly Agree,Planning to,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Neutral,Female,,,
17/07/2025 12:24:20,Below 30,Undergraduate,CHINSURAH ,Strongly Agree,Less than 2 hours,Agree,Agree,Disagree,Agree,Planning to,Agree,Neutral,Neutral,Disagree,Neutral,Male,,,
17/07/2025 12:27:24,Below 30,Undergraduate,Bardhaman ,Agree,2 - 5 hours,Agree,Agree,Agree,Strongly Agree,Planning to,Agree,Disagree,Neutral,Disagree,Agree,Male,,,
17/07/2025 12:33:01,Below 30,Undergraduate,Kalna ,Strongly Agree,2 - 5 hours,Strongly Agree,Strongly Agree,Agree,Strongly Agree,No,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Female,,,
17/07/2025 12:42:06,Below 30,Undergraduate,Serampore ,Strongly Agree,Less than 2 hours,Agree,Strongly Disagree,Disagree,Strongly Agree,Planning to,Agree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Male,,,
17/07/2025 12:43:21,Above 50,Undergraduate,Bhadreshwar,Strongly Agree,6 - 10 hours,Strongly Agree,Agree,Neutral,Agree,No,Agree,Agree,Agree,Disagree,Agree,Male,,,
17/07/2025 12:51:15,Below 30,Schooling,Mankundu ,Strongly Agree,6 - 10 hours,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Yes,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Female,,,
17/07/2025 13:22:34,Below 30,Postgraduate,Kalna ,Agree,Less than 2 hours,Agree,Agree,Agree,Agree,No,Agree,Neutral,Agree,Agree,Agree,Male,,,
17/07/2025 13:23:50,Below 30,Undergraduate,Bhadreswar ,Agree,2 - 5 hours,Agree,Agree,Agree,Agree,Yes,Strongly Agree,Agree,Neutral,Neutral,Neutral,Male,,,
17/07/2025 13:26:56,Below 30,Undergraduate,Howrah ,Strongly Agree,2 - 5 hours,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Yes,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Male,,,
17/07/2025 13:50:42,Below 30,Undergraduate,Chinsurah ,Strongly Agree,6 - 10 hours,Agree,Agree,Neutral,Neutral,No,Agree,Agree,Neutral,Strongly Disagree,Neutral,Female,,,
17/07/2025 14:10:05,Below 30,Schooling,Howrah,Neutral,Less than 2 hours,Agree,Neutral,Strongly Agree,Agree,No,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Agree,Male,,,
17/07/2025 14:34:18,Above 50,Undergraduate,Village- Durgarampur,Strongly Agree,2 - 5 hours,Neutral,Neutral,Strongly Agree,Strongly Agree,No,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Male,,,
17/07/2025 14:36:12,Below 30,Undergraduate,Rishra ,Agree,2 - 5 hours,Agree,Agree,Agree,Agree,Planning to,Agree,Agree,Agree,Disagree,Neutral,Male,,,
17/07/2025 14:53:35,41 - 50,Postgraduate,Chandannagar,Strongly Agree,Less than 2 hours,Agree,Neutral,Agree,Agree,No,Agree,Disagree,Disagree,Disagree,Agree,Male,,,
17/07/2025 15:03:03,Below 30,Schooling,Haripal ,Agree,Less than 2 hours,Agree,Agree,Agree,Agree,Yes,Agree,Agree,Agree,Disagree,Neutral,Male,,,
17/07/2025 19:54:41,Above 50,Postgraduate,Chuchura,Strongly Agree,2 - 5 hours,Agree,Agree,Neutral,Agree,Planning to,Agree,Agree,Neutral,Disagree,Agree,Female,,,
17/07/2025 20:07:36,Below 30,Undergraduate,Chandannagar,Strongly Agree,2 - 5 hours,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Yes,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Male,,,
18/07/2025 10:19:33,Below 30,Postgraduate,Belur ,Strongly Agree,2 - 5 hours,Agree,Strongly Agree,Agree,Agree,No,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Male,,,
18/07/2025 17:19:18,Below 30,Undergraduate,Chandannagar ,Strongly Agree,2 - 5 hours,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Yes,Agree,Neutral,Neutral,Disagree,Disagree,Male,,,
18/07/2025 20:24:05,Below 30,Undergraduate,chandannagar,Agree,Less than 2 hours,Agree,Agree,Neutral,Agree,No,Agree,Neutral,Neutral,Strongly Disagree,Neutral,Male,,,
19/07/2025 12:19:35,Below 30,Undergraduate,Bally,Strongly Agree,6 - 10 hours,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Yes,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Male,,,
23/07/2025 13:15:00,Below 30,Schooling,Kolkata ,Agree,Less than 2 hours,Agree,Agree,Strongly Agree,Neutral,No,Agree,Agree,Neutral,Strongly Agree,Neutral,Male,,,
24/07/2025 21:29:21,Below 30,Undergraduate,Serampore ,Strongly Agree,More than 10 hours,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Yes,Agree,Neutral,Neutral,Strongly Disagree,Agree,Female,,,
27/07/2025 20:23:02,Above 50,Doctorate / Professional Degree,Bolpur Shantiniketan ,Agree,Less than 2 hours,Agree,Neutral,Agree,Agree,No,Disagree,Disagree,Disagree,Disagree,Agree,Male,,,
01/08/2025 13:03:40,Below 30,Undergraduate,Bhadreswar ,Neutral,2 - 5 hours,Neutral,Neutral,Neutral,Neutral,No,Neutral,Neutral,Neutral,Neutral,Neutral,Female,,,
02/08/2025 08:37:07,41 - 50,Postgraduate,Kolkata,Strongly Disagree,Less than 2 hours,Strongly Disagree,Disagree,Agree,Strongly Disagree,No,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Female,,,
06/08/2025 11:30:32,Below 30,Undergraduate,Bhadreswar ,Strongly Agree,Less than 2 hours,Agree,Neutral,Neutral,Neutral,Yes,Neutral,Agree,Neutral,Neutral,Neutral,Male,,,
06/08/2025 11:31:51,Below 30,Undergraduate,Hooghly ,Neutral,2 - 5 hours,Neutral,Neutral,Neutral,Neutral,No,Neutral,Neutral,Neutral,Neutral,Neutral,Male,,,
06/08/2025 11:33:07,Below 30,Undergraduate,Serampore ,Strongly Agree,2 - 5 hours,Strongly Agree,Strongly Agree,Disagree,Disagree,No,Agree,Agree,Agree,Disagree,Agree,Male,,,
06/08/2025 11:35:04,Below 30,Undergraduate,Hindmotor,Agree,2 - 5 hours,Agree,Agree,Disagree,Agree,No,Agree,Agree,Agree,Disagree,Agree,Male,,,
06/08/2025 11:35:06,Below 30,Undergraduate,Mogra,Strongly Disagree,More than 10 hours,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Male,,,
06/08/2025 11:35:10,Below 30,Undergraduate,Sheoraphuli,Agree,2 - 5 hours,Agree,Agree,Disagree,Agree,No,Agree,Agree,Agree,Disagree,Strongly Agree,Male,,,
06/08/2025 11:35:27,Below 30,Undergraduate,Madan pur,Neutral,Less than 2 hours,Neutral,Neutral,Neutral,Neutral,No,Neutral,Neutral,Neutral,Neutral,Neutral,Male,,,
06/08/2025 11:35:35,Below 30,Schooling,Swapnonil Sengupta ,Strongly Agree,2 - 5 hours,Agree,Agree,Agree,Agree,No,Agree,Agree,Agree,Agree,Agree,Male,,,
06/08/2025 11:35:39,Below 30,Schooling,Rishra ,Strongly Agree,Less than 2 hours,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Yes,Strongly Agree,Strongly Agree,Neutral,Disagree,Agree,Male,,,
06/08/2025 11:36:15,Below 30,Undergraduate,Hooghly ,Strongly Agree,Less than 2 hours,Strongly Agree,Agree,Disagree,Strongly Agree,No,Disagree,Disagree,Disagree,Disagree,Agree,Female,,,
06/08/2025 11:36:21,Below 30,Schooling,Howrah ,Neutral,Less than 2 hours,Neutral,Neutral,Neutral,Neutral,Planning to,Agree,Neutral,Neutral,Neutral,Neutral,Male,,,
06/08/2025 11:36:27,Below 30,Undergraduate,Hindmotor ,Strongly Disagree,Less than 2 hours,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Yes,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Male,,,
06/08/2025 11:36:32,Below 30,Undergraduate,Bhadreswar ,Neutral,Less than 2 hours,Neutral,Agree,Neutral,Neutral,No,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Male,,,
06/08/2025 11:36:51,Below 30,Undergraduate,Rishra,Strongly Agree,2 - 5 hours,Agree,Agree,Neutral,Strongly Agree,No,Agree,Neutral,Neutral,Disagree,Agree,Male,,,
06/08/2025 11:37:26,Below 30,Undergraduate,Bhadreswar,Agree,2 - 5 hours,Agree,Agree,Disagree,Neutral,No,Agree,Neutral,Agree,Disagree,Disagree,Female,,,
06/08/2025 11:38:10,Below 30,Undergraduate,Baidyabati ,Agree,Less than 2 hours,Agree,Agree,Neutral,Agree,No,Disagree,Neutral,Neutral,Disagree,Agree,Female,,,
06/08/2025 11:40:19,Above 50,Doctorate / Professional Degree,Serampore,Strongly Disagree,Less than 2 hours,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,No,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Male,,,
06/08/2025 11:40:25,Below 30,Undergraduate,"Rameswarpur, Hooghly ",Agree,Less than 2 hours,Agree,Agree,Agree,Agree,No,Neutral,Agree,Agree,Disagree,Agree,Female,,,
06/08/2025 11:40:25,Below 30,Undergraduate,Naihati ,Agree,Less than 2 hours,Agree,Agree,Agree,Strongly Agree,No,Neutral,Agree,Agree,Disagree,Agree,Female,,,
06/08/2025 11:44:39,Below 30,Undergraduate,Memari ,Strongly Disagree,6 - 10 hours,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Planning to,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Male,,,
06/08/2025 11:45:49,Below 30,Undergraduate,Naihati,Strongly Agree,6 - 10 hours,Strongly Agree,Strongly Agree,Agree,Agree,Planning to,Agree,Agree,Neutral,Neutral,Neutral,Male,,,
06/08/2025 11:48:37,Below 30,Undergraduate,Bhadreswar ,Strongly Agree,Less than 2 hours,Strongly Agree,Strongly Agree,Agree,Strongly Agree,No,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Female,,,
06/08/2025 11:50:28,Below 30,Undergraduate,Chandannagar ,Agree,Less than 2 hours,Agree,Agree,Neutral,Agree,Planning to,Neutral,Disagree,Neutral,Disagree,Neutral,Male,,,
06/08/2025 12:01:43,Below 30,Undergraduate,Purba Barddhaman ,Strongly Agree,2 - 5 hours,Strongly Agree,Agree,Agree,Strongly Agree,Planning to,Agree,Neutral,Agree,Neutral,Agree,Male,,,
06/08/2025 12:10:04,31 - 40,Postgraduate,Bhadreswar ,Agree,6 - 10 hours,Agree,Agree,Neutral,Agree,Yes,Agree,Neutral,Neutral,Neutral,Agree,Male,,,
06/08/2025 12:21:10,Below 30,Undergraduate,Chuchura,Strongly Agree,Less than 2 hours,Agree,Agree,Agree,Agree,No,Disagree,Neutral,Neutral,Disagree,Agree,Male,,,
06/08/2025 12:22:08,31 - 40,Postgraduate,Hindmotor,Agree,6 - 10 hours,Strongly Agree,Agree,Disagree,Agree,Yes,Agree,Agree,Disagree,Disagree,Neutral,Male,,,
06/08/2025 12:27:44,Below 30,Undergraduate,Haripal,Strongly Agree,6 - 10 hours,Strongly Agree,Strongly Agree,Agree,Agree,No,Neutral,Agree,Agree,Neutral,Agree,Male,,,
06/08/2025 12:34:00,31 - 40,Postgraduate,Rishra,Agree,2 - 5 hours,Agree,Agree,Disagree,Agree,Planning to,Agree,Agree,Disagree,Disagree,Neutral,Male,,,
06/08/2025 12:38:02,31 - 40,Doctorate / Professional Degree,Konnagar,Agree,2 - 5 hours,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,No,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Female,,,
06/08/2025 13:17:16,Below 30,Undergraduate,Konnagar ,Strongly Agree,6 - 10 hours,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Planning to,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Male,,,
06/08/2025 13:17:19,Above 50,Schooling,"Sonagachi, Sovabazar, Kolkata ",Neutral,More than 10 hours,Neutral,Neutral,Neutral,Neutral,Planning to,Neutral,Neutral,Neutral,Neutral,Neutral,Female,,,
06/08/2025 13:17:49,Below 30,Undergraduate,Nadia,Strongly Agree,6 - 10 hours,Strongly Agree,Neutral,Neutral,Strongly Agree,No,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Male,,,
06/08/2025 13:17:59,Below 30,Undergraduate,Pune ,Strongly Agree,More than 10 hours,Strongly Agree,Agree,Agree,Neutral,No,Strongly Agree,Neutral,Neutral,Disagree,Agree,Male,,,
06/08/2025 13:18:50,Below 30,Postgraduate,Chandannagar ,Agree,2 - 5 hours,Agree,Strongly Agree,Disagree,Strongly Agree,Yes,Agree,Disagree,Neutral,Disagree,Disagree,Male,,,
06/08/2025 13:24:31,Below 30,Postgraduate,Kolkata ,Agree,Less than 2 hours,Agree,Agree,Disagree,Agree,No,Neutral,Agree,Agree,Agree,Agree,Male,,,
06/08/2025 13:30:52,Below 30,Postgraduate,New Town,Strongly Agree,Less than 2 hours,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Planning to,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Male,,,
06/08/2025 13:53:19,Below 30,Postgraduate,Mumbai ,Strongly Agree,6 - 10 hours,Strongly Agree,Strongly Agree,Neutral,Agree,No,Neutral,Strongly Disagree,Agree,Disagree,Agree,Male,,,
06/08/2025 13:57:42,Below 30,Postgraduate,Kalna ,Agree,More than 10 hours,Agree,Agree,Agree,Agree,Yes,Agree,Agree,Agree,Agree,Agree,Male,,,
06/08/2025 14:15:20,Below 30,Postgraduate,Naihati,Strongly Agree,Less than 2 hours,Strongly Agree,Neutral,Agree,Agree,No,Neutral,Strongly Agree,Neutral,Disagree,Neutral,Male,,,
06/08/2025 15:34:31,Below 30,Undergraduate,Kolkata,Strongly Agree,2 - 5 hours,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Planning to,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Male,,,
06/08/2025 16:12:09,Below 30,Postgraduate,Ambika Kalna ,Agree,6 - 10 hours,Agree,Agree,Disagree,Agree,Yes,Agree,Agree,Neutral,Disagree,Neutral,Female,,,
06/08/2025 17:37:32,31 - 40,Postgraduate,Chinsurah,Strongly Agree,6 - 10 hours,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Yes,Agree,Strongly Agree,Agree,Disagree,Disagree,Male,,,
06/08/2025 17:38:49,Below 30,Postgraduate,Chandannagar ,Strongly Agree,2 - 5 hours,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Planning to,Neutral,Neutral,Agree,Disagree,Strongly Agree,Female,,,
06/08/2025 23:48:17,Below 30,Undergraduate,Chandannagore ,Neutral,6 - 10 hours,Neutral,Agree,Disagree,Agree,Yes,Disagree,Agree,Disagree,Disagree,Neutral,Male,,,
07/08/2025 08:01:42,Below 30,Schooling,Chandannagar,Agree,More than 10 hours,Strongly Agree,Agree,Neutral,Agree,Yes,Strongly Agree,Neutral,Agree,Neutral,Agree,Male,,,
07/08/2025 10:02:32,Below 30,Undergraduate,Bally ,Strongly Agree,More than 10 hours,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Yes,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Agree,Female,,,
07/08/2025 10:02:37,Below 30,Undergraduate,City - Sheoraphully ,Agree,2 - 5 hours,Agree,Agree,Disagree,Agree,No,Strongly Agree,Disagree,Neutral,Disagree,Agree,Male,,,
07/08/2025 10:14:10,Below 30,Schooling,Bandel,Strongly Agree,Less than 2 hours,Strongly Agree,Strongly Agree,Disagree,Agree,No,Neutral,Disagree,Agree,Disagree,Strongly Agree,Female,,,
07/08/2025 10:26:30,Below 30,Schooling,Kolkata,Agree,Less than 2 hours,Agree,Strongly Disagree,Neutral,Neutral,No,Neutral,Disagree,Strongly Agree,Neutral,Strongly Agree,Male,,,
07/08/2025 10:52:19,Below 30,Undergraduate,Tribeni ,Strongly Agree,2 - 5 hours,Agree,Agree,Neutral,Neutral,Planning to,Strongly Disagree,Neutral,Neutral,Disagree,Agree,Male,,,
07/08/2025 10:52:30,Below 30,Schooling,Chinsurah ,Strongly Agree,Less than 2 hours,Strongly Agree,Neutral,Disagree,Disagree,No,Neutral,Disagree,Disagree,Neutral,Agree,Male,,,
07/08/2025 10:53:10,Below 30,Undergraduate,Tribeni ,Agree,Less than 2 hours,Agree,Agree,Disagree,Strongly Agree,Yes,Neutral,Disagree,Neutral,Disagree,Neutral,Female,,,
07/08/2025 11:11:47,Below 30,Undergraduate,naihati,Strongly Agree,Less than 2 hours,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,No,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Male,,,
09/08/2025 00:33:11,Below 30,Undergraduate,Singur ,Strongly Agree,6 - 10 hours,Strongly Agree,Agree,Neutral,Agree,Planning to,Neutral,Disagree,Agree,Disagree,Agree,Male,,,
09/08/2025 09:19:19,Below 30,Undergraduate,Sheoraphuli ,Strongly Agree,6 - 10 hours,Agree,Agree,Agree,Agree,No,Agree,Disagree,Agree,Disagree,Agree,Male,,,
18/08/2025 13:30:21,Below 30,Postgraduate,Bhadreswar,Agree,Less than 2 hours,,,,,Planning to,,,Neutral,Strongly Disagree,Agree,Male,,,
18/08/2025 13:30:24,Below 30,Undergraduate,Ichapore,Strongly Agree,2 - 5 hours,Agree,Strongly Agree,Neutral,Agree,Planning to,Strongly Agree,Agree,Neutral,Strongly Disagree,Agree,Female,,,
18/08/2025 13:30:27,Below 30,Undergraduate,West bengal,Agree,2 - 5 hours,Agree,Agree,Neutral,Agree,Yes,Agree,Agree,Neutral,Neutral,Agree,Male,,,
18/08/2025 13:30:30,Below 30,Undergraduate,Howrah,Agree,2 - 5 hours,Agree,Agree,Agree,Agree,No,Agree,Disagree,Agree,Neutral,Agree,Male,,,
18/08/2025 13:30:33,Below 30,Undergraduate,chandannagar ,Strongly Agree,More than 10 hours,Strongly Agree,Agree,Neutral,Agree,Planning to,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Female,,,
18/08/2025 13:30:36,Below 30,Undergraduate,"Naihati, Bhatpara West Bengal, India",Strongly Agree,More than 10 hours,Strongly Agree,Strongly Agree,Agree,Strongly Agree,No,Neutral,Neutral,Agree,Disagree,Agree,Male,,,
18/08/2025 13:30:39,Below 30,Undergraduate,Serampore ,Strongly Agree,Less than 2 hours,Agree,Neutral,Agree,Neutral,No,Neutral,Agree,Disagree,Agree,Agree,Male,,,
18/08/2025 13:30:42,Below 30,Undergraduate,Sheoraphully,Agree,2 - 5 hours,Agree,Agree,Strongly Disagree,Neutral,No,Agree,Neutral,Agree,Disagree,Agree,Female,,,
18/08/2025 13:30:46,Below 30,Postgraduate,Bhatpara,Strongly Agree,More than 10 hours,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Yes,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Male,,,
18/08/2025 13:30:49,41 - 50,Doctorate / Professional Degree,Kolkata,Strongly Agree,6 - 10 hours,Strongly Agree,Neutral,Neutral,Neutral,No,Agree,Neutral,Disagree,Neutral,Strongly Agree,Male,,,
18/08/2025 13:30:52,Below 30,Undergraduate,Hooghly,Strongly Agree,2 - 5 hours,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Planning to,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,,,
